ID,Type,Sub type,Price,NetHabitableSurface(msq),BedroomCount,Province,Region,PostCode,street,Floor,RegionCode,IsIsolated,HasSeaView,SchoolDistance,ShopDistance,TransportDistance,NetHabitableSurface,TotalRoomCount,HasAttic,HasBasement,HasDiningRoom,BuildingCondition,ConstructionYear,FacadeCount,HasLift,FloodZoneType,HeatingType,IsDoubleGlaze,KitchekType,LivingRoomArea,HasBalcony,HasGarden,GardenArea
5323067,APARTMENT,APARTMENT,,90.0,2,Flemish Brabant,Flanders,3200,Pieter Verhaeghenlaan,,FLANDERS,URBAN,,0.0,100.0,50.0,90,,,,,AS_NEW,2015,2,True,NON_FLOOD_ZONE,GAS,True,INSTALLED,,,,
5323069,APARTMENT,GROUND_FLOOR,,133.0,3,Flemish Brabant,Flanders,3200,Pieter Verhaeghenlaan,,FLANDERS,URBAN,,0.0,100.0,50.0,133,,,,,AS_NEW,2015,2,True,NON_FLOOD_ZONE,GAS,True,INSTALLED,,,True,
5323070,APARTMENT,GROUND_FLOOR,,91.0,2,Flemish Brabant,Flanders,3200,Pieter Verhaeghenlaan,,FLANDERS,URBAN,,0.0,100.0,50.0,91,,,,,AS_NEW,2015,2,True,NON_FLOOD_ZONE,GAS,True,INSTALLED,,,True,
5345822,HOUSE,HOUSE,95000,,2,,,00099,Route de Savana,,,,,0.0,0.0,0.0,,,,,,AS_NEW,2014,4,,,,,INSTALLED,,,,
5368748,HOUSE,HOUSE,90000,,3,Hainaut,Wallonie,7110,Rue Joseph Wauters,,WALLONIE,,,0.0,0.0,0.0,,,True,,True,,,2,,,GAS,,,,,,
5401054,HOUSE,HOUSE,,,4,Liège,Wallonie,4032,,,WALLONIE,,,,,,,,,,,,,3,,,,,,,,,
5425480,APARTMENT,APARTMENT,,86.0,2,West Flanders,Flanders,8300,,,FLANDERS,,,,,,86,,,,,,,2,,,,True,,,,,
5427425,HOUSE,VILLA,,234.0,4,West Flanders,Flanders,8377,,,FLANDERS,,,,,,234,5,,,,,2014,,,POSSIBLE_FLOOD_ZONE,,,,,,True,
5436660,APARTMENT,APARTMENT,,125.0,3,West Flanders,Flanders,8300,,,FLANDERS,,,,,,125,4,,,,AS_NEW,1981,,,NON_FLOOD_ZONE,,,,,,True,
5436865,HOUSE,HOUSE,,,3,Liège,Wallonie,4030,,,WALLONIE,,,,,,,,,,,,,2,,,,,,,,,
5438511,APARTMENT,APARTMENT,,121.0,3,Antwerp,Flanders,2000,,1,FLANDERS,,,,,,121,5,,,True,,2015,,,,,,,,,,
5438512,APARTMENT,APARTMENT,,86.0,2,Antwerp,Flanders,2000,,1,FLANDERS,,,,,,86,4,,,True,,2015,,,,,,,,,,
5438514,APARTMENT,APARTMENT,,100.0,2,Antwerp,Flanders,2000,,1,FLANDERS,,,,,,100,4,,,True,,2015,,,,,,,,,,
5438515,APARTMENT,APARTMENT,,137.0,3,Antwerp,Flanders,2000,,1,FLANDERS,,,,,,137,5,,,True,,2015,,,,,,,,,,
5438516,APARTMENT,APARTMENT,,99.0,2,Antwerp,Flanders,2000,,1,FLANDERS,,,,,,99,4,,,True,,2015,,,,,,,,,,
5438517,APARTMENT,APARTMENT,,94.0,2,Antwerp,Flanders,2000,,1,FLANDERS,,,,,,94,4,,,True,,2015,,,,,,,,,,
5438518,APARTMENT,APARTMENT,,94.0,2,Antwerp,Flanders,2000,,1,FLANDERS,,,,,,94,4,,,True,,2015,,,,,,,,,,
5438519,APARTMENT,APARTMENT,,97.0,2,Antwerp,Flanders,2000,,1,FLANDERS,,,,,,97,4,,,True,,2015,,,,,,,,,,
5438520,APARTMENT,APARTMENT,,95.0,2,Antwerp,Flanders,2000,,1,FLANDERS,,,,,,95,4,,,True,,2015,,,,,,,,,,
5438521,APARTMENT,APARTMENT,,46.0,1,Antwerp,Flanders,2000,,1,FLANDERS,,,,,,46,3,,,,,2015,,,,,,,,,,
5438522,APARTMENT,APARTMENT,,62.0,2,Antwerp,Flanders,2000,,1,FLANDERS,,,,,,62,4,,,,,2015,,,,,,,,,,
5438523,APARTMENT,APARTMENT,,121.0,3,Antwerp,Flanders,2000,,2,FLANDERS,,,,,,121,5,,,True,,2015,,,,,,,,,,
5438524,APARTMENT,APARTMENT,,86.0,2,Antwerp,Flanders,2000,,2,FLANDERS,,,,,,86,4,,,True,,2015,,,,,,,,,,
5438525,APARTMENT,APARTMENT,,100.0,2,Antwerp,Flanders,2000,,2,FLANDERS,,,,,,100,4,,,True,,2015,,,,,,,,,,
5438526,APARTMENT,APARTMENT,,137.0,3,Antwerp,Flanders,2000,,2,FLANDERS,,,,,,137,5,,,True,,2015,,,,,,,,,,
5438527,APARTMENT,APARTMENT,,99.0,2,Antwerp,Flanders,2000,,2,FLANDERS,,,,,,99,4,,,True,,2015,,,,,,,,,,
5438528,APARTMENT,APARTMENT,,94.0,2,Antwerp,Flanders,2000,,2,FLANDERS,,,,,,94,4,,,True,,2015,,,,,,,,,,
5438529,APARTMENT,APARTMENT,,94.0,2,Antwerp,Flanders,2000,,2,FLANDERS,,,,,,94,4,,,True,,2015,,,,,,,,,,
5438530,APARTMENT,APARTMENT,,97.0,2,Antwerp,Flanders,2000,,2,FLANDERS,,,,,,97,4,,,True,,2015,,,,,,,,,,
5438531,APARTMENT,APARTMENT,,95.0,2,Antwerp,Flanders,2000,,2,FLANDERS,,,,,,95,4,,,True,,2015,,,,,,,,,,
5438532,APARTMENT,APARTMENT,,99.0,2,Antwerp,Flanders,2000,,3,FLANDERS,,,,,,99,4,,,True,,2015,,,,,,,,,,
5438533,APARTMENT,APARTMENT,,138.0,3,Antwerp,Flanders,2000,,4,FLANDERS,,,,,,138,5,,,True,,2015,,,,,,,,,,
5438534,APARTMENT,APARTMENT,,99.0,2,Antwerp,Flanders,2000,,4,FLANDERS,,,,,,99,4,,,True,,2015,,,,,,,,,,
5438535,APARTMENT,APARTMENT,,159.0,3,Antwerp,Flanders,2000,,4,FLANDERS,,,,,,159,5,,,True,,2015,,,,,,,,,,
5438536,APARTMENT,APARTMENT,,62.0,1,Antwerp,Flanders,2000,,4,FLANDERS,,,,,,62,3,,,,,2015,,,,,,,,,,
5438537,APARTMENT,APARTMENT,,66.0,2,Antwerp,Flanders,2000,,4,FLANDERS,,,,,,66,4,,,,,2015,,,,,,,,,,
5438538,APARTMENT,APARTMENT,,114.0,3,Antwerp,Flanders,2000,,5,FLANDERS,,,,,,114,5,,,True,,2015,,,,,,,,,,
5438539,APARTMENT,APARTMENT,,175.0,3,Antwerp,Flanders,2000,,5,FLANDERS,,,,,,175,5,,,True,,2015,,,,,,,,,,
5438540,APARTMENT,APARTMENT,,138.0,3,Antwerp,Flanders,2000,,5,FLANDERS,,,,,,138,5,,,True,,2015,,,,,,,,,,
5438541,APARTMENT,APARTMENT,,99.0,2,Antwerp,Flanders,2000,,5,FLANDERS,,,,,,99,4,,,True,,2015,,,,,,,,,,
